Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-6cmq,checkpoint-r96e,branch-yvp6,Randomise questionnaire elements?,Question Key,Response
46,1675281056386,01/02/2023 19:50:56,1675281055953,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-rightplaceandtime,5
47,1675281056386,01/02/2023 19:50:56,1675281055953,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-rightplaceandtime-quantised,5
48,1675281056386,01/02/2023 19:50:56,1675281055954,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-capabilityimpressions,4
49,1675281056386,01/02/2023 19:50:56,1675281055955,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-capabilityimpressions-quantised,4
50,1675281056386,01/02/2023 19:50:56,1675281055956,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-capabilitymemories,4
51,1675281056386,01/02/2023 19:50:56,1675281055957,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-capabilitymemories-quantised,4
52,1675281056386,01/02/2023 19:50:56,1675281055958,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-taskperformance,5
53,1675281056386,01/02/2023 19:50:56,1675281055959,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-taskperformance-quantised,5
54,1675281056386,01/02/2023 19:50:56,1675281055960,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-successerror,3
55,1675281056386,01/02/2023 19:50:56,1675281055960,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-successerror-quantised,3
