Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-6cmq,checkpoint-r96e,branch-yvp6,Randomise questionnaire elements?,Question Key,Response
2,1675264285196,01/02/2023 15:11:25,1675264285155,0,01/02/2023 15:11:25,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,age,20
3,1675264285242,01/02/2023 15:11:25,1675264285156,0,01/02/2023 15:11:25,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,gender,Male
4,1675264285242,01/02/2023 15:11:25,1675264285156,0,01/02/2023 15:11:25,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,gender-quantised,2
5,1675264285242,01/02/2023 15:11:25,1675264285156,0,01/02/2023 15:11:25,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity,Asian
6,1675264285242,01/02/2023 15:11:25,1675264285157,0,01/02/2023 15:11:25,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity-quantised,1
7,1675264285242,01/02/2023 15:11:25,1675264285157,0,01/02/2023 15:11:25,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity-text,
8,1675264285242,01/02/2023 15:11:25,1675264285157,0,01/02/2023 15:11:25,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,occupation,Student
9,1675264285242,01/02/2023 15:11:25,1675264285157,0,01/02/2023 15:11:25,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,education,15
10,1675264285242,01/02/2023 15:11:25,1675264285157,0,01/02/2023 15:11:25,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-use,Yes
11,1675264285242,01/02/2023 15:11:25,1675264285157,0,01/02/2023 15:11:25,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-use-quantised,1
12,1675264285242,01/02/2023 15:11:25,1675264285157,0,01/02/2023 15:11:25,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,END QUESTIONNAIRE,28403
1,1675287264698,01/02/2023 21:34:24,1675287264578,0,01/02/2023 21:34:24,108492,7,questionnaire-z5r6,,26864498,BLIND,7980273,,complete,,,mobile,Apple iPhone,iOS 15.6.1,Instagram 267.0.0.8.92,428x926,428x855,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,BEGIN QUESTIONNAIRE,
2,1675287299129,01/02/2023 21:34:59,1675287298811,0,01/02/2023 21:34:58,108492,7,questionnaire-z5r6,,26864498,BLIND,7980273,,complete,,,mobile,Apple iPhone,iOS 15.6.1,Instagram 267.0.0.8.92,428x926,428x853,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,age,21
3,1675287299304,01/02/2023 21:34:59,1675287298813,0,01/02/2023 21:34:58,108492,7,questionnaire-z5r6,,26864498,BLIND,7980273,,complete,,,mobile,Apple iPhone,iOS 15.6.1,Instagram 267.0.0.8.92,428x926,428x853,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,gender,Female
4,1675287299304,01/02/2023 21:34:59,1675287298813,0,01/02/2023 21:34:58,108492,7,questionnaire-z5r6,,26864498,BLIND,7980273,,complete,,,mobile,Apple iPhone,iOS 15.6.1,Instagram 267.0.0.8.92,428x926,428x853,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,gender-quantised,1
5,1675287299304,01/02/2023 21:34:59,1675287298813,0,01/02/2023 21:34:58,108492,7,questionnaire-z5r6,,26864498,BLIND,7980273,,complete,,,mobile,Apple iPhone,iOS 15.6.1,Instagram 267.0.0.8.92,428x926,428x853,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity,White
6,1675287299304,01/02/2023 21:34:59,1675287298813,0,01/02/2023 21:34:58,108492,7,questionnaire-z5r6,,26864498,BLIND,7980273,,complete,,,mobile,Apple iPhone,iOS 15.6.1,Instagram 267.0.0.8.92,428x926,428x853,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity-quantised,3
